filename,Throttle Value,Throttle State,Steering Value,Steering State
0000001.png,1.0,1,1.0,1
0000002.png,1.0,1,0.5,0
0000003.png,1.0,1,0.5,0
0000004.png,0.5,0,0.5,0
0000005.png,1.0,1,0.5,0
0000006.png,0.5,0,0.5,0
0000007.png,0.5,0,0.5,0
0000008.png,0.5,0,0.5,0
0000009.png,0.5,0,0.5,0
0000010.png,1.0,1,0.5,0
0000011.png,0.5,0,0.5,0
0000012.png,0.5,0,0.5,0
0000013.png,1.0,1,0.5,0
0000014.png,0.5,0,0.5,0
0000015.png,1.0,1,0.5,0
0000016.png,0.5,0,0.0,1
0000017.png,1.0,1,0.5,0
0000018.png,0.5,0,0.5,0
0000019.png,0.5,0,0.5,0
0000020.png,1.0,1,0.5,0
0000021.png,1.0,1,0.5,0
0000022.png,0.5,0,0.5,0
0000023.png,0.5,0,1.0,1
0000024.png,1.0,1,0.5,0
0000025.png,1.0,1,0.5,0
0000026.png,1.0,1,0.5,0
0000027.png,0.5,0,1.0,1
0000028.png,0.0,1,0.5,0
0000029.png,0.5,0,0.5,0
0000030.png,0.5,0,0.5,0
0000031.png,0.5,0,0.0,1
0000032.png,1.0,1,0.5,0
0000033.png,1.0,1,0.5,0
0000034.png,1.0,1,0.5,0
0000035.png,1.0,1,0.5,0
0000036.png,1.0,1,0.5,0
0000037.png,0.5,0,0.5,0
0000038.png,1.0,1,0.5,0
0000039.png,0.5,0,0.5,0
0000040.png,1.0,1,1.0,1
0000041.png,1.0,1,0.5,0
0000042.png,1.0,1,0.5,0
0000043.png,1.0,1,0.5,0
0000044.png,0.5,0,0.5,0
0000045.png,1.0,1,1.0,1
0000046.png,1.0,1,0.5,0
0000047.png,1.0,1,0.5,0
0000048.png,1.0,1,0.5,0
0000049.png,0.5,0,0.5,0
0000050.png,0.5,0,0.5,0
0000051.png,0.5,0,0.5,0
0000052.png,1.0,1,0.0,1
0000053.png,0.5,0,0.0,1
0000054.png,0.5,0,0.0,1
0000055.png,0.5,0,0.5,0
0000056.png,1.0,1,0.5,0
0000057.png,0.5,0,0.0,1
0000058.png,1.0,1,0.5,0
0000059.png,1.0,1,0.5,0
0000060.png,1.0,1,0.5,0
