filename,Throttle Value,Throttle State,Steering Value,Steering State
0148346.png,0.5,0,1.0,1
0006892.png,1.0,1,0.5,0
0085004.png,1.0,1,1.0,1
0124964.png,1.0,1,0.0,1
0121730.png,0.0,1,0.5,0
0134565.png,1.0,1,0.0,1
0043038.png,1.0,1,0.5,0
0016462.png,0.5,0,0.5,0
0060724.png,1.0,1,1.0,1
0087832.png,0.0,1,0.0,1
0140266.png,1.0,1,0.0,1
0112850.png,0.0,1,0.5,0
0087917.png,0.0,1,1.0,1
0001378.png,1.0,1,0.5,0
0012186.png,0.0,1,0.5,0
0123145.png,1.0,1,1.0,1
0087912.png,0.0,1,0.0,1
0109882.png,1.0,1,1.0,1
0058284.png,0.5,0,1.0,1
0022146.png,0.5,0,0.5,0
0059498.png,0.0,1,0.5,0
0071667.png,1.0,1,1.0,1
0076283.png,0.0,1,0.5,0
0111988.png,1.0,1,0.0,1
0045173.png,0.5,0,0.5,0
0037169.png,0.0,1,1.0,1
0116382.png,0.0,1,0.5,0
0097616.png,0.0,1,0.0,1
0010504.png,0.0,1,0.0,1
0083665.png,1.0,1,1.0,1
0059366.png,1.0,1,1.0,1
0101146.png,0.0,1,0.0,1
0091795.png,0.5,0,1.0,1
0088843.png,0.0,1,0.0,1
0000179.png,0.5,0,0.5,0
0127735.png,1.0,1,0.0,1
0067066.png,0.0,1,0.0,1
0014223.png,0.0,1,0.0,1
0088737.png,0.0,1,0.5,0
0067041.png,0.0,1,1.0,1
0120881.png,1.0,1,0.0,1
0098855.png,1.0,1,1.0,1
0007310.png,0.5,0,0.5,0
0025140.png,0.5,0,0.5,0
0008637.png,1.0,1,0.5,0
0067029.png,0.0,1,1.0,1
0018258.png,0.5,0,0.5,0
0075248.png,0.0,1,0.0,1
0036371.png,0.5,0,0.5,0
0097665.png,0.0,1,0.0,1
0088768.png,0.0,1,0.0,1
0058796.png,0.0,1,0.5,0
0044940.png,0.5,0,0.5,0
0028384.png,0.5,0,0.5,0
0067051.png,0.0,1,0.0,1
0048017.png,1.0,1,0.5,0
0063112.png,1.0,1,1.0,1
0047989.png,0.5,0,0.5,0
0013735.png,1.0,1,0.5,0
0122156.png,0.0,1,0.5,0
0072436.png,0.5,0,0.0,1
0006444.png,1.0,1,0.5,0
0074515.png,1.0,1,1.0,1
0091129.png,0.0,1,0.5,0
0080739.png,0.5,0,0.0,1
0089021.png,0.0,1,1.0,1
0027308.png,1.0,1,0.0,1
0141758.png,0.5,0,1.0,1
0050070.png,0.5,0,1.0,1
0085668.png,0.5,0,0.0,1
0012039.png,0.0,1,0.5,0
0073205.png,0.0,1,0.5,0
0036184.png,1.0,1,0.5,0
0067079.png,0.0,1,0.0,1
0145996.png,0.5,0,0.0,1
0108096.png,0.5,0,0.0,1
0015279.png,1.0,1,0.5,0
0009344.png,1.0,1,0.0,1
0034559.png,1.0,1,1.0,1
0075272.png,0.0,1,0.0,1
0141322.png,1.0,1,1.0,1
0081045.png,0.0,1,0.5,0
0088957.png,0.0,1,1.0,1
0003535.png,1.0,1,0.5,0
0025362.png,0.5,0,0.5,0
0075458.png,0.0,1,0.5,0
0122354.png,0.0,1,0.5,0
0138533.png,0.5,0,1.0,1
0098543.png,0.0,1,0.5,0
0052893.png,1.0,1,0.5,0
0096154.png,0.0,1,0.5,0
0084462.png,0.0,1,0.5,0
0125970.png,1.0,1,1.0,1
0097675.png,0.0,1,0.0,1
0035130.png,1.0,1,0.5,0
0067184.png,0.5,0,1.0,1
0089635.png,1.0,1,1.0,1
0041201.png,0.5,0,0.5,0
0052906.png,1.0,1,0.5,0
0050859.png,1.0,1,1.0,1
0000893.png,1.0,1,0.5,0
0048701.png,0.5,0,1.0,1
0086272.png,1.0,1,1.0,1
0001819.png,1.0,1,0.5,0
0045484.png,0.5,0,0.5,0
0085630.png,0.0,1,0.5,0
0078493.png,0.5,0,0.0,1
0112299.png,1.0,1,0.0,1
0044840.png,0.0,1,0.5,0
0116093.png,1.0,1,0.0,1
0046570.png,0.5,0,0.5,0
0042939.png,1.0,1,0.5,0
0141024.png,0.0,1,0.5,0
0053455.png,0.5,0,0.5,0
0088763.png,0.0,1,1.0,1
0075242.png,0.0,1,0.0,1
0140578.png,0.5,0,0.0,1
0032280.png,0.5,0,0.5,0
0090873.png,0.5,0,1.0,1
0085011.png,1.0,1,1.0,1
0096699.png,1.0,1,1.0,1
0016577.png,1.0,1,0.0,1
0122782.png,0.0,1,0.5,0
0140271.png,1.0,1,0.0,1
0143170.png,0.5,0,1.0,1
0107472.png,1.0,1,1.0,1
0094388.png,1.0,1,1.0,1
0054966.png,0.0,1,0.0,1
0112172.png,1.0,1,1.0,1
0129840.png,1.0,1,0.0,1
0110258.png,0.5,0,1.0,1
0054101.png,1.0,1,0.5,0
0075292.png,0.0,1,0.0,1
0032914.png,1.0,1,0.5,0
0045651.png,0.5,0,0.5,0
0116046.png,1.0,1,1.0,1
0103595.png,0.0,1,0.5,0
0006482.png,0.5,0,0.5,0
0088902.png,0.0,1,0.0,1
0082269.png,1.0,1,0.0,1
0039823.png,0.5,0,0.5,0
0012191.png,1.0,1,0.5,0
0039731.png,0.5,0,0.5,0
0133908.png,0.5,0,1.0,1
0129477.png,1.0,1,0.0,1
0123958.png,0.0,1,0.5,0
0048137.png,1.0,1,0.5,0
0105266.png,1.0,1,0.0,1
0012572.png,1.0,1,0.5,0
0072942.png,0.5,0,0.0,1
0115896.png,0.5,0,1.0,1
0020623.png,0.5,0,0.5,0
0103052.png,0.5,0,1.0,1
0071154.png,1.0,1,1.0,1
0047635.png,1.0,1,0.5,0
0114946.png,1.0,1,0.0,1
0126148.png,0.0,1,0.5,0
0051178.png,1.0,1,0.5,0
0029168.png,0.5,0,0.5,0
0010686.png,1.0,1,1.0,1
0047802.png,1.0,1,1.0,1
0095808.png,1.0,1,0.0,1
0067054.png,0.0,1,0.0,1
0081603.png,1.0,1,0.0,1
0131017.png,0.5,0,0.0,1
0115072.png,0.0,1,0.5,0
0084962.png,1.0,1,1.0,1
0000426.png,1.0,1,0.0,1
0087907.png,0.0,1,0.0,1
0069616.png,1.0,1,1.0,1
0039813.png,0.5,0,0.0,1
0131507.png,0.5,0,1.0,1
0135154.png,1.0,1,1.0,1
0052290.png,0.5,0,1.0,1
0112756.png,0.0,1,0.5,0
0139765.png,0.5,0,1.0,1
0097674.png,0.0,1,0.0,1
0093996.png,0.0,1,0.5,0
0077690.png,1.0,1,0.0,1
0044808.png,0.5,0,0.5,0
0140949.png,0.0,1,0.5,0
0124215.png,1.0,1,0.0,1
0059166.png,0.0,1,1.0,1
0049023.png,0.5,0,0.5,0
0060675.png,0.0,1,0.5,0
0093943.png,0.0,1,0.5,0
0104708.png,0.0,1,0.5,0
0103861.png,0.0,1,0.5,0
0129142.png,0.0,1,0.5,0
0104271.png,0.5,0,0.0,1
0004143.png,0.5,0,0.5,0
0111806.png,0.0,1,0.0,1
0043135.png,1.0,1,0.5,0
0021869.png,0.0,1,1.0,1
0101461.png,0.5,0,1.0,1
0031927.png,0.5,0,0.5,0
0087837.png,0.0,1,0.0,1
0087979.png,0.0,1,0.5,0
0101208.png,0.0,1,0.0,1
0088943.png,0.0,1,1.0,1
0029987.png,0.5,0,0.5,0
0026199.png,1.0,1,0.5,0
0064303.png,1.0,1,0.0,1
0094911.png,0.5,0,0.0,1
0051471.png,0.5,0,0.5,0
0061829.png,0.5,0,0.0,1
0035135.png,1.0,1,0.5,0
0001123.png,1.0,1,0.5,0
0084639.png,0.5,0,1.0,1
0087889.png,0.0,1,1.0,1
0018631.png,0.5,0,0.5,0
0061624.png,1.0,1,1.0,1
0011680.png,1.0,1,0.5,0
0042917.png,1.0,1,1.0,1
0122253.png,0.0,1,0.5,0
0010216.png,1.0,1,0.5,0
0125409.png,0.5,0,1.0,1
0067066.png,0.0,1,0.0,1
0084272.png,0.0,1,0.5,0
0088851.png,0.0,1,1.0,1
0137779.png,0.0,1,0.5,0
0032262.png,0.5,0,0.5,0
0033944.png,0.5,0,1.0,1
0012892.png,1.0,1,0.5,0
0030420.png,0.5,0,0.5,0
0052187.png,0.5,0,1.0,1
0143676.png,0.5,0,1.0,1
0037170.png,0.0,1,0.0,1
0144540.png,1.0,1,0.0,1
0082684.png,0.5,0,0.0,1
0029929.png,0.5,0,0.5,0
0068940.png,0.5,0,1.0,1
0057571.png,0.0,1,1.0,1
0104982.png,0.5,0,1.0,1
0097673.png,0.0,1,0.0,1
0108237.png,1.0,1,1.0,1
0035644.png,1.0,1,0.5,0
0101184.png,0.0,1,0.0,1
0070770.png,0.0,1,0.5,0
0105630.png,0.5,0,1.0,1
0018877.png,0.5,0,0.5,0
0101157.png,0.0,1,1.0,1
0023517.png,0.5,0,0.5,0
0119065.png,0.0,1,0.5,0
0133943.png,0.5,0,1.0,1
